ID,Year,Work,Authors,Research stream,Core mechanism / contribution,Formalism / representation,Policy source,Uniqueness,Source-supported limitations,Reviewer-inferred limitations,Agent-security relevance,Relationship to Conflux,Conflux impact,Novelty impact,Priority,Review status,Claim-safe status,Primary/source URL,Connected IDs,Connected works,Recommended Conflux use,Full-review questions,Audit basis
L023,2026,Policy Compiler for Secure Agentic Systems / FORGE,Nils Palumbo et al.,Agent policy compiler / provenance,Causal dependency graph + Datalog-derived policies + reference monitor + instrumentation,Datalog / causal graph,Explicit developer/organisational policies,"Combines AOP instrumentation, causal execution facts, Datalog policies and a reference monitor across agent/multi-agent histories.",,Guarantees are conditional on complete observability/instrumentation and correct policies; policy intent is external.,Very close system-level neighbour,"Conflux cannot claim novelty for provenance-aware deterministic enforcement; compare principal-context derivation, policy burden and SLED-V verification",Conflux cannot claim provenance/causal-history deterministic policy enforcement as novel; must distinguish ACS-derived authority and SLED-V verification.,Critical,Critical,Verified primary; version/title history needs note,Needs citation verification before publication,https://arxiv.org/abs/2602.16708,L001; L002; L017; L018; L019; L026; L032,Security Policy Specification Using a Graphical Approach (LaSCO); The Ponder Policy Specification Language; Defeating Prompt Injections by Design (CaMeL); Progent: Programmable Privilege Control for LLM Agents; Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; Autoformalization of Agent Instructions into Policy-as-Code; Enforceable Security Policies,"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L024,2026,AI Agents May Always Fall for Prompt Injections,Sahar Abdelnabi; Eugene Bagdasarian,Contextual integrity / prompt injection,Reframes PI as contextual manipulation; attacks via flow/norm manipulation and mixed flows,CI conceptual framework + empirical scenarios,Contextual norms,"Reframes prompt injection as contextual manipulation and constructs misrepresented-flow, norm-manipulation and mixed-flow attacks with an impossibility-style trade-off.",,Does not itself provide deterministic enforcement of arbitrary contextual norms; scope differs from a narrowly defined authorization invariant.,Direct conceptual challenge/complement,Supports focusing Conflux security on authority while acknowledging contextual appropriateness as separate objective,Validates separating influence from maliciousness but shows PE alone is not complete contextual safety/privacy.,Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2605.17634,L006; L007; L021; L017,Privacy as Contextual Integrity; Privacy and Contextual Integrity: Framework and Applications; A Critical Evaluation of Defenses Against Prompt Injection Attacks; Defeating Prompt Injections by Design (CaMeL),Treat contextual appropriateness as a policy dimension distinct from bare ACS authorization; use it to motivate visibility/consent/context policies without weakening the hard Principal-Context authority invariant.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Can the norm be represented as a deterministic predicate over Conflux state, or does it require model judgement? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L025,2026,The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck (PACT),Linfeng Fan et al.,Argument-level provenance / capabilities,Semantic roles for tool arguments + cross-step provenance + trust contracts,Runtime contracts,Role-specific trust contracts,Introduces semantic roles and cross-step argument-level provenance so only authority-bearing arguments require trusted origins.,,"Provenance inference, role/contract synthesis and semantic ambiguity remain bottlenecks; not every harm is argument-provenance harm.",Very close provenance neighbour,Shows whole-call provenance is too coarse for some workflows; motivates argument-level Principal Context or authority-bearing argument semantics,Critical overlap with Conflux selector/argument authorization; exact difference must be formalized and evaluated.,Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2605.11039,L017; L019; L023; L033,Defeating Prompt Injections by Design (CaMeL); Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; Policy Compiler for Secure Agentic Systems / FORGE; Hyperproperties,Shows whole-call provenance is too coarse for some workflows; motivates argument-level Principal Context or authority-bearing argument semantics,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L026,2026,Autoformalization of Agent Instructions into Policy-as-Code,Adam Mondl; Matthew Maisel; John H. Brock,LLM autoformalization / policy-as-code,"Generator-critic pipeline translates prompts, MCP descriptions and prose policy to Cedar",Cedar + hard/soft critics,Natural-language policy + tool metadata,"End-to-end LLM generator-critic translating prompts, MCP schemas and policy corpora into analyzable Cedar policies.",,"Hard checks prove properties of generated Cedar, not semantic equivalence to source prose; soft semantic checking remains model-dependent.",Directly relevant to Conflux commercial policy ingestion,Potential policy-source layer above Conflux; generated policy must remain outside hard theorem unless translation is trusted/verified,Mandatory comparison for Conflux policy compilation; suggests separating immutable authority invariants from autoformalized policy.,Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2606.26649,L008; L010; L011; L012; L013; L014; L023; L028,"An Empirical Study of Natural Language Parsing of Privacy Policy Rules Using the SPARCLE Policy Workbench; A Controlled Natural Language Interface for Authoring Access Control Policies; Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy); Policy by Example: An Approach for Security Policy Specification; Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization; Defending Against Indirect Prompt Injection Attacks With Spotlighting; Policy Compiler for Secure Agentic Systems / FORGE; PolicyBank",Potential policy-source layer above Conflux; generated policy must remain outside hard theorem unless translation is trusted/verified,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L027,2025,How Not to Detect Prompt Injections with an LLM,Sarthak Choudhary; Divyam Anshumaan; Nils Palumbo; Somesh Jha,Model-level detection critique,Shows limitations of LLM-based PI detection,Empirical/adversarial,,Targets the prompt-injection detector paradigm itself with adversarial/statistical failure constructions.,,Results do not imply impossibility of deterministic external authorization/reference monitors.,Motivates deterministic system enforcement,Supports separating model robustness from hard authorization guarantees,Supports excluding maliciousness detection from Conflux's hard proof.,Moderate,High,Verified primary; metadata corrected,Publication-safe metadata,https://arxiv.org/abs/2507.05630,L015; L017; L022,StruQ: Defending Against Prompt Injection with Structured Queries; Defeating Prompt Injections by Design (CaMeL); AgentGuardian: Learning Access Control Policies to Govern AI Agent Behavior,"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L028,2026,PolicyBank,Somesh Jha et al.,Policy interpretation / agent policy,Agent-facing benchmark/framework for ambiguous or incomplete policies and feedback-driven refinement,Natural-language policy interpretation,Ambiguous/incomplete organisational policy,Treats incomplete/ambiguous policy as online feedback-driven policy-memory refinement.,,Depends on trusted feedback; bad feedback can poison policy and silently expand behavior.,Relevant to policy acquisition and ambiguity,Potential evaluation source for policy-interpretation layer; exact relation requires full-paper review,Relevant to persistent policy/memory; learned expansion should require hard authority/approval constraints.,High,High,Discovery candidate - verify exact metadata,Needs citation verification before publication,https://scholar.google.com/scholar?q=PolicyBank+Somesh+Jha,L012; L020; L026,Policy by Example: An Approach for Security Policy Specification; Design Patterns for Securing LLM Agents against Prompt Injections; Autoformalization of Agent Instructions into Policy-as-Code,"Use as prior art for policy acquisition. Generated/learned policy should carry provenance, confidence/review status, and should not silently become part of Conflux hard security assumptions.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L029,1996,Role-Based Access Control Models,Ravi Sandhu; Edward Coyne; Hal Feinstein; Charles Youman,Access control,Canonical RBAC family/model,Formal RBAC relations,Administrative role assignment,Canonical role-centered organizational authorization abstraction.,,"Role engineering, role explosion and context/history-sensitive decisions remain hard.",ACS foundation,Useful canonical access-control citation beyond a survey when discussing role-based organisational authority,One ACS family Conflux should consume rather than replace.,Low,Medium,Add foundational citation,Needs citation verification before publication,https://doi.org/10.1109/2.485845,L003; L030; L038,"The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management; Current Research and Open Problems in Attribute-Based Access Control; Zanzibar: Google’s Consistent, Global Authorization System",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L030,2017,Current Research and Open Problems in Attribute-Based Access Control,Daniel Servos; Sylvia L. Osborn,Access control / ABAC,Survey/formal framing of ABAC,Attribute-based authorization,Administrative policy,"Comprehensive ABAC survey and open-problem map for attributes, administration, delegation and scalability.",,Expressiveness increases policy complexity and does not automatically model causal influence.,Already used for ACS background,"Retain, but supplement with RBAC/policy-machine/Cedar where appropriate",Supports a provider-neutral ACS abstraction rather than role-only semantics.,Low,High,Existing Conflux reference,Needs citation verification before publication,https://doi.org/10.1145/3007204,L003; L029; L013; L014,"The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management; Role-Based Access Control Models; Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization; Defending Against Indirect Prompt Injection Attacks With Spotlighting",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L031,1976,Protection in Operating Systems,Michael A. Harrison; Walter L. Ruzzo; Jeffrey D. Ullman,Access-control safety,HRU access-control model and safety problem,Formal transition system,Formal access matrix,Canonical access-control safety result showing unrestricted right-acquisition reachability can be undecidable.,,General undecidability does not apply to every finite/restricted fragment.,Foundational for SLED-V limits,Important when claiming decidability/completeness of policy/authority verification,Defines limits on SLED-V claims; use SAFE/UNSAFE/BOUNDED/UNKNOWN with explicit supported fragments.,High,High,Add foundational citation,Needs citation verification before publication,https://dl.acm.org/doi/10.1145/360303.360333,L005; L032; L034; L035; L036,Preventing Privilege Escalation; Enforceable Security Policies; Principles of Model Checking; Bounded Model Checking; SAT-Based Model Checking without Unrolling (IC3),"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L032,2000,Enforceable Security Policies,Fred B. Schneider,Runtime enforcement theory,Security automata characterize execution-monitor enforceable policies,Automata / safety properties,Formal security policy,Foundational characterization of runtime monitor-enforceable security/safety policies.,,Execution monitors cannot enforce arbitrary hyperproperties/liveness and assume complete mediation.,Foundational for reference monitors,Clarifies which Conflux/SLED properties can be enforced as safety properties versus hyperproperties/liveness,Formal basis for distinguishing PE safety from confidentiality hyperproperties.,High,High,Add foundational citation,Needs citation verification before publication,https://www.cs.cornell.edu/fbs/publications/EnfSecPols.pdf,L005; L023; L034; L033,Preventing Privilege Escalation; Policy Compiler for Secure Agentic Systems / FORGE; Principles of Model Checking; Hyperproperties,"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L033,2010,Hyperproperties,Michael R. Clarkson; Fred B. Schneider,Information-flow verification,Properties over sets of traces,Hyperproperty framework,Formal property,"Introduces hyperproperties for security properties relating sets of traces, including noninterference.",,Framework is not itself an enforcement or verification algorithm.,Relevant to confidentiality,Needed if SLED-V claims observational confidentiality/noninterference rather than only authorized-read safety,SLED-V should separate authorized-read safety from observational confidentiality.,High,High,Verified bibliographic; metadata corrected,Publication-safe metadata,https://dblp.org/rec/journals/jcs/ClarksonS10.html,L007; L021; L025; L032,Privacy and Contextual Integrity: Framework and Applications; A Critical Evaluation of Defenses Against Prompt Injection Attacks; The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck (PACT); Enforceable Security Policies,Needed if SLED-V claims observational confidentiality/noninterference rather than only authorized-read safety,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L034,2008,Principles of Model Checking,Christel Baier; Joost-Pieter Katoen,Formal verification,Comprehensive model-checking foundations,Transition systems; temporal logic,Formal specifications,"Authoritative model-checking methodology reference spanning transition systems, temporal logic and reductions.",,A proof establishes only the model/property actually encoded; implementation conformance is separate.,Core SLED-V methodology,"General formal-method reference for state exploration, CTL/LTL, fairness and verification claims","Methodology foundation for SLED-V, not a novelty comparator.",Low,Medium,Add methodology citation,Needs citation verification before publication,https://mitpress.mit.edu/9780262026499/principles-of-model-checking/,L031; L035; L036,Protection in Operating Systems; Bounded Model Checking; SAT-Based Model Checking without Unrolling (IC3),"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L035,2003,Bounded Model Checking,Armin Biere; Alessandro Cimatti; Edmund M. Clarke; Ofer Strichman; Yunshan Zhu,Formal verification,SAT-based bounded counterexample search,SAT/BMC,Formal transition relation,SAT-based bounded model checking makes short counterexample search practical.,,No counterexample up to k is only bounded safety unless completeness/induction is established.,SLED-V backend relevance,Supports bounded-safe versus unbounded-safe distinction,Natural SLED-V backend; verdicts must explicitly say BOUNDED-SAFE.,Moderate,Medium,Verified primary; canonical survey metadata corrected,Publication-safe metadata,https://www.cs.cmu.edu/~emc/papers/Books%20and%20Edited%20Volumes/Bounded%20Model%20Checking.pdf,L034; L036,Principles of Model Checking; SAT-Based Model Checking without Unrolling (IC3),"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L036,2011,SAT-Based Model Checking without Unrolling (IC3),Aaron R. Bradley,Formal verification,Inductive invariant / property-directed reachability,IC3/PDR,Formal transition relation,IC3/PDR constructs inductive strengthenings for unbounded finite-state safety without fixed-depth unrolling.,,Performance/applicability depend on encoding and finite symbolic structure; implementation refinement remains separate.,SLED-V unbounded safety,Candidate backend for proving ITES authority invariant without depth bounds,Strong target for an unbounded SAFE result for the canonical ITES semantics.,High,High,Add methodology citation,Needs citation verification before publication,https://doi.org/10.1007/978-3-642-18275-4_7,L034; L035,Principles of Model Checking; Bounded Model Checking,"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L037,1993,A Calculus for Access Control in Distributed Systems,Martín Abadi; Michael Burrows; Butler W. Lampson; Gordon D. Plotkin,Delegation / access-control logic,"Logical account of principals, requests, ACLs, delegation, and “speaks for” / acting-on-behalf-of relationships in distributed systems.",Authorization logic / principal calculus,"Human-authored ACLs, statements, delegation relationships",Foundational logic of principals speaking/acting on behalf of others and delegated distributed authority.,,Credential/policy grounding must be trustworthy; does not model data influence.,"Foundational for acting-for, delegation, principal composition, and separating request authority from data influence.",Direct foundation for distinguishing InfluencingPrincipals from ActingFor/delegation/consent principals; does not model information provenance as authority contamination.,Critical for distinguishing influencing principals from ActingFor/delegation/consent principals.,High,Medium,Verified primary; replaced mislabelled duplicate Zanzibar row,Publication-safe metadata,https://era.ed.ac.uk/handle/1842/207,L038; L003; L014,"Zanzibar: Google’s Consistent, Global Authorization System; The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management; Defending Against Indirect Prompt Injection Attacks With Spotlighting",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L038,2019,"Zanzibar: Google’s Consistent, Global Authorization System",Ruoming Pang et al.,Distributed authorization,Relationship-based global authorization,Relationship tuples,Central authorization service,"Production demonstration of global, consistent, relationship-based authorization at enormous scale.",,Assumes applications maintain correct relation tuples/configuration; no agent influence or policy acquisition semantics.,Real-world ACS substrate,Commercial relevance for mapping principal/resource authority at scale,Commercial ACS integration reference.,Low,High,Verified primary,Publication-safe metadata,https://research.google/pubs/zanzibar-googles-consistent-global-authorization-system/,L003; L014; L029; L037,The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management; Defending Against Indirect Prompt Injection Attacks With Spotlighting; Role-Based Access Control Models; Cedar / fine-grained authorization lineage: Zanzibar,Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L039,2005,XACML 2.0 / 3.0 policy language lineage,OASIS XACML Technical Committee,Authorization policy standard,Attribute-based policy decision and enforcement architecture,XML policy language,Administrative policy-as-code,Standard PDP/PEP architecture and attribute-based policy/combining semantics used across enterprise authorization.,,Policy can be verbose/complex; history/provenance require external attributes/state; no intent inference.,Policy interoperability history,Historical standard relevant to Text2Policy and modern Cedar comparison,Standards lineage for Conflux policy adapters and Text2Policy-style extraction.,Low,Medium,Standards reference,Needs citation verification before publication,https://www.oasis-open.org/standard/xacmlv3-0/,L011; L013; L014,"Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy); Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization; Defending Against Indirect Prompt Injection Attacks With Spotlighting",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L040,1999,Conflicts in Policy-Based Distributed Systems Management,Emil Lupu; Morris Sloman,Policy analysis,Detects/characterizes policy conflicts in distributed systems,Policy rules / conflict analysis,Formal management policies,Early systematic analysis of authorization/obligation policy conflicts and resolution strategies.,,Conflict-free policy can still be incomplete or semantically wrong.,Policy compiler relevance,Important precursor to contradiction/conflict checking in FORGE and autoformalized policy sets,Ancestor of deterministic policy critics; important distinction between logical consistency and semantic fidelity.,Moderate,High,Add foundational citation,Needs citation verification before publication,https://doi.org/10.1109/32.798323,L001; L002; L004; L009; L023,Security Policy Specification Using a Graphical Approach (LaSCO); The Ponder Policy Specification Language; Security and Management Policy Specification; Security Policy Refinement Using Data Integration: A Position Paper; Policy Compiler for Secure Agentic Systems / FORGE,Use to position Conflux policy compilation as part of a long policy-engineering lineage; distinguish specification/refinement from runtime authority derivation.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
N001,2003,Access Control Based on Execution History,Martín Abadi; Cédric Fournet,History-based access control / privilege attenuation,"Determines run-time rights from attributes and origins of any code that has executed, plus explicit requests to augment rights; proposed as an alternative to stack inspection.",Operational/history-based rights model,Code-origin attributes and explicit right-augmentation rules,"Early explicit model where authority is a function of execution history and code origins, addressing limitations of stack-based access control.","The paper concerns code-origin history in extensible software, not natural-language data provenance, multi-principal information influence, or LLM tool selection.",Mapping “code that has run” to “information that influenced an LLM” is non-trivial because semantic influence is much less observable than call history.,Very close historical analogue to authority depending on accumulated origins/history rather than only the immediate caller.,Conflux must not claim that accumulated origins/history constraining authority is itself novel; the candidate distinction is authenticated information-principal provenance plus current ACS semantics under arbitrary model behavior.,Conflux must not claim that accumulated origins/history constraining authority is itself novel; the candidate distinction is authenticated information-principal provenance plus current ACS semantics under arbitrary model behavior.,Critical,Critical,Verified primary,Publication-safe metadata,https://www.microsoft.com/en-us/research/publication/access-control-based-execution-history/,L005; L016; L017; N035,Preventing Privilege Escalation; IFC agent defense; CaMeL; stack inspection,Mandatory historical comparison in Principal Context / authority monotonicity related work.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N002,1996,Decentralized Trust Management (PolicyMaker),Matt Blaze; Joan Feigenbaum; Jack Lacy,Trust management / distributed authorization,"Separates trust management as a problem of expressing security policy and credentials, checking compliance, and delegating trust to third parties; introduces PolicyMaker.",Policy/credential language with compliance checking,Application policy and signed credentials,One of the foundational trust-management systems that directly binds principals/credentials to authorized actions.,Assumes policies/credentials already encode intended authority; does not model information flows or data-origin influence.,"Trust-management proofs answer whether a request is authorized, not whether untrusted information causally produced that request.",Foundational policy-and-credential substrate for decentralized authorization and delegation.,Strong foundation for ACS/delegation semantics; Conflux adds influence-derived restriction rather than replacing trust management.,Strong foundation for ACS/delegation semantics; Conflux adds influence-derived restriction rather than replacing trust management.,High,High,Verified primary,Publication-safe metadata,https://archive.dimacs.rutgers.edu/TechnicalReports/abstracts/1996/96-17.html,L002; L037; N003; N036; N037,Ponder; access-control calculus; KeyNote; Delegation Logic; RT framework,Use in delegation/ACS lineage and to separate authorization proof from influence tracking.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N003,1999,The KeyNote Trust-Management System Version 2,Matt Blaze; Joan Feigenbaum; John Ioannidis; Angelos D. Keromytis,Trust management / policy credentials,"General-purpose language and architecture for policies, credentials, action attributes, and direct authorization of security-critical actions.",KeyNote assertions / action attributes,Application policy and credentials,"Operationalized trust management with a compact, application-independent policy language and credential semantics.",No causal/information-provenance model; correctness depends on policy and credential issuance.,Agent actions with semantically rich arguments may require richer structured schemas than KeyNote-style attribute sets.,Shows long-standing support for argument/action-attribute-sensitive authorization and delegated credentials.,Important predecessor for action/argument policy and delegation; Conflux should not claim argument-sensitive authorization as new.,Important predecessor for action/argument policy and delegation; Conflux should not claim argument-sensitive authorization as new.,High,High,Verified standard/primary,Publication-safe metadata,https://www.rfc-editor.org/info/rfc2704/,N002; N004; N036; L018,PolicyMaker; Binder; Delegation Logic; Progent,Historical policy/credential reference for structured action authorization.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N004,2002,"Binder, a Logic-Based Security Language",John DeTreville,Logic-based security policy / delegation,"Represents security statements as distributed logic programs, clarifying certificates, delegation, and policy reasoning.",Logic programming / distributed Datalog-like rules,Human/system-authored logical statements,Treats security language as open logic programs rather than fixed certificate/ACL data structures.,"Expressive policy language, not policy acquisition or provenance enforcement; assumes trustworthy statements and communication.",Logical expressiveness increases policy-analysis and authoring complexity and does not solve contextual ambiguity.,Ancestor of Datalog-style policy enforcement used by modern agent systems such as FORGE.,FORGE’s Datalog lineage has deep precedent; Conflux uniqueness cannot be “logic-based formal policy enforcement.”,FORGE’s Datalog lineage has deep precedent; Conflux uniqueness cannot be “logic-based formal policy enforcement.”,Moderate,Medium,Verified primary,Publication-safe metadata,https://www.microsoft.com/en-us/research/publication/binder-a-logic-based-security-language/,N003; N005; L023,KeyNote; Cassandra; FORGE,Policy-language ancestry and FORGE contextualization.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N005,2004,Cassandra: Distributed Access Control Policies with Tunable Expressiveness,Moritz Y. Becker; Peter Sewell,Distributed access control / trust management,"Role-based trust-management language based on Datalog with constraints; supports hierarchy, delegation, separation of duties, revocation, credential discovery, and trust negotiation with formal semantics.",Datalog with constraints,Distributed role/credential policy,Adjustable constraint domain trades expressiveness and complexity while retaining formal query/enforcement semantics.,No information-influence tracking; the model presupposes formal policy credentials.,Complex organizational semantics still require correct policy engineering and can become difficult to explain to end users.,"Rich predecessor for formal organizational policy, delegation, revocation, and Datalog authorization.",Relevant to explicit delegation/ACS mutation and to FORGE-like Datalog policy; Principal Context should compose with such engines.,Relevant to explicit delegation/ACS mutation and to FORGE-like Datalog policy; Principal Context should compose with such engines.,High,High,Verified primary,Publication-safe metadata,https://www.microsoft.com/en-us/research/publication/cassandra-distributed-access-control-policies-with-tunable-expressiveness/,L002; N004; N037; L023,Ponder; Binder; RT; FORGE,"Delegation, revocation, and rich ACS prior art.",,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N006,2004,The UCONABC Usage Control Model,Jaehong Park; Ravi Sandhu,Usage control / dynamic authorization,"Generalizes access control with Authorizations, oBligations, Conditions, continuity of decision, and mutable attributes during use.",UCONABC conceptual/formal model,Usage-control policy and mutable subject/object/environment attributes,"Integrates ongoing authorization, obligations, environmental conditions, and mutability in one model.",Does not attribute decisions to information provenance; core model leaves administration/delegation for later work.,"Continuous checks can interact subtly with long-running agent plans and side effects, requiring transactional semantics.","Direct precedent for ongoing, stateful authorization and obligations rather than a one-shot allow/deny check.","Useful for consent, approval, ongoing validity, and dynamic ACS semantics; Conflux should not present continuous policy checking as novel.","Useful for consent, approval, ongoing validity, and dynamic ACS semantics; Conflux should not present continuous policy checking as novel.",Moderate,High,Verified primary,Publication-safe metadata,https://doi.org/10.1145/984334.984339,L030; L013; L028,ABAC; Cedar; PolicyBank,Stateful policy/obligation background for production semantics.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
N007,1997,A Decentralized Model for Information Flow Control,Andrew C. Myers; Barbara Liskov,Decentralized information-flow control,Introduces decentralized labels/owners/readers so mutually distrustful principals can control dissemination and selectively declassify.,Decentralized label model / lattice,Principal-owned confidentiality labels and authority,Combines fine-grained IFC with decentralized authority and owner-controlled declassification.,"Primarily confidentiality/flow, not action authority derived from all information influencers; assumes explicit labels and language/runtime enforcement.","LLM influence is semantically broad, whereas static IFC tracks syntactic/data dependencies; correspondence must be specified carefully.",Very close conceptual precedent for principal-associated information labels and policy propagation.,Mandatory comparison: principal-labelled information predates Conflux; candidate novelty is converting influencing-principal provenance into action authority under an ACS rather than simply constraining flows.,Mandatory comparison: principal-labelled information predates Conflux; candidate novelty is converting influencing-principal provenance into action authority under an ACS rather than simply constraining flows.,Critical,Critical,Verified primary,Publication-safe metadata,https://www.cs.cornell.edu/andru/papers/iflow-sosp97/paper.html,N008; N009; N010; N011; N012; L016,DLM journal; robust declassification; NMIFC; FLAM; IFC agent defense,Central classical comparison in security semantics.,,Citation-chain expansion from missing classical/agent-policy/formal-verification clusters
