id,title,year,stream,mechanism,granularity,policy_source,provenance_type,formal_guarantee,implementation_or_artifact,evaluation,closest_relation_to_conflux,adoption_priority,evidence_tier,source_url,notes
TAINT,TaintCheck: Automatic Detection of Attacks by Tainted Data,2005,Dynamic taint analysis,track untrusted bytes through execution,byte/instruction,taint policy,dynamic dataflow,detects tainted control of sensitive operations,system,attack detection,precedent for influence propagation and implicit-flow limits,high,A,https://www.usenix.org/legacy/events/sec05/tech/full_papers/newsome/newsome.pdf,Agent semantics require richer than byte taint
CAPSICUM,Capsicum: Practical Capabilities for UNIX,2010,Capability security,sandbox with explicit file descriptor capabilities,process/resource,capability,explicit authority transfer,confinement,FreeBSD implementation,applications,executor defence in depth,high,A,https://www.cl.cam.ac.uk/research/security/capsicum/,Avoid ambient authority
SEL4,seL4: Formal Verification of an OS Kernel,2009,Capability OS/formal verification,capability kernel with machine-checked implementation,kernel object,capability policy,explicit authority,refinement/security properties,verified kernel,OS benchmarks,model for small verified enforcement kernel,medium,A,https://sel4.systems/,Production Conflux can borrow assurance strategy
MACAROONS,Macaroons: Cookies with Contextual Caveats for Decentralized Authorization in the Cloud,2014,Delegation/capabilities,attenuable bearer tokens with caveats,token/effect,capability caveats,delegation chain,cryptographic attenuation,implementation/paper,cloud services,strong model for scoped delegation,critical,A,https://research.google/pubs/macaroons-cookies-with-contextual-caveats-for-decentralized-authorization-in-the-cloud/,Supports no-amplification by attenuation
BISCUIT,Biscuit Authorization Tokens,2020,Delegation/capabilities,signed Datalog-like attenuable authorization tokens,token/request,token facts/rules,delegation chain,cryptographic authorization,open-source implementation,applications,candidate decision-certificate/delegation format,high,A,https://www.biscuitsec.org/,Inspect trust and revocation model
TLAPLUS,Specifying Systems / TLA+,2002,Formal methods,state-machine specification and temporal logic,state/transition,specification,state history,safety/liveness/model checking,TLC/PlusCal,distributed systems,natural SLED 2 semantics,critical,A,https://lamport.azurewebsites.net/tla/tla.html,Use for memory/delegation/branch models
ALLOY,Alloy: A Lightweight Object Modelling Notation,2002,Formal methods,relational modelling and bounded analysis,structure/state,specification,relations,bounded counterexamples,Alloy Analyzer,models,useful for ACS/delegation schema exploration,high,A,https://alloytools.org/,Good for small-scope hypothesis
SPIN,The SPIN Model Checker,1997,Formal methods,explicit-state model checking and partial-order reduction,state/transition,specification,trace,safety/liveness,SPIN/Promela,protocols,algorithmic foundation for SLED reduction,high,A,https://spinroot.com/,Relevant to state explosion
CEGAR,Counterexample-Guided Abstraction Refinement,2000,Formal verification,iterative abstraction and counterexample refinement,state abstraction,specification,abstract trace,sound verification under refinement,method,software/hardware,future scalable SLED strategy,medium,A,https://doi.org/10.1007/10722167_15,Use after semantics stabilise
CEDAR,Cedar Policy Language and Authorization Model,2022,Policy engine,principal/action/resource/context policy with formal semantics,authorization request,Cedar policy,entity graph/context,sound evaluator relative to policy semantics,official engine/spec,conformance tests,best initial real PDP adapter,critical,A,https://www.cedarpolicy.com/,Use PARC request model and policy snapshot hashes
OPA,Open Policy Agent / Rego,2016,Policy engine,general policy-as-code decision service,JSON request,Rego policy,input document,deterministic evaluation,official engine,production adoption,practical pluggable policy backend,high,A,https://www.openpolicyagent.org/docs/latest/,No intrinsic principal-provenance semantics
AWS-IAM,AWS IAM Policy Evaluation Logic,2026,Cloud IAM,"composition of identity/resource policies, boundaries, SCPs, sessions, explicit deny",principal/action/resource/context,AWS IAM,request context,provider-native decision,official service/docs,production,target adapter; do not approximate silently,critical,A,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html,Current Conflux subset is not full IAM
OPENFGA,OpenFGA,2026,ReBAC engine,relationship tuples and authorization models,principal/resource/relation,ReBAC model,relationship graph,authorization decision,official implementation,production examples,resource-graph adapter,high,A,https://openfga.dev/,Zanzibar-inspired
SPICEDB,SpiceDB,2026,ReBAC engine,Zanzibar-style relationship graph authorization,principal/resource/relation,schema/tuples,relationship graph,authorization decision,official implementation,production examples,resource-graph adapter,high,A,https://authzed.com/spicedb,Compare consistency and caveats
OPENAI-AGENTS,OpenAI Agents SDK,2026,Agent framework,"tools, handoffs, guardrails, sessions, tracing",agent/tool/session,application configuration,framework trace,no global security guarantee,official SDK,examples,important adapter target and effect inventory,critical,A,https://openai.github.io/openai-agents-python/,Tool guardrail coverage varies by tool class
LANGGRAPH,LangGraph,2026,Agent framework,"graph execution, persistence, interrupts/HITL",node/state/tool,application graph,state/checkpoint lineage,no security guarantee,official framework,examples,persistent-state and approval integration target,critical,A,https://docs.langchain.com/oss/python/langgraph/,Check every node/tool bypass path
MCP-AUTH,Model Context Protocol Authorization,2026,Protocol,OAuth-based client/server authorization,transport/request,OAuth/scopes,server identity,transport authorization,official spec,implementations,"identity substrate, not content authority",critical,A,https://modelcontextprotocol.io/specification/latest/basic/authorization,Need signed content/tool provenance envelopes
MCP-SEC,Model Context Protocol Security Best Practices,2026,Protocol security,"token handling, confused deputy and implementation guidance",transport/server,protocol policy,identity/request,best-practice guidance,official docs,implementations,TCB and confused-deputy input,high,A,https://modelcontextprotocol.io/specification/latest/basic/security_best_practices,Does not solve prompt injection
IN-TOTO,in-toto,2019,Software supply chain,signed layout and link metadata for build steps,artifact/step,supply-chain policy,cryptographic provenance,attested workflow integrity,standard/tooling,software builds,"sign tools, adapters, policy bundles",high,A,https://in-toto.io/,Complements runtime provenance
SLSA,Supply-chain Levels for Software Artifacts,2021,Software supply chain,build provenance and assurance levels,artifact/build,supply-chain standard,build provenance,assurance framework,standard/tooling,software builds,release criteria for security kernel,medium,A,https://slsa.dev/,Use for reproducibility
TUF,The Update Framework,2010,Software supply chain,"threshold-signed, role-separated update metadata",artifact/repository,update policy,signed metadata,secure update properties,standard/tooling,package systems,revocation/expiry for tool and policy registries,high,A,https://theupdateframework.io/,Useful for trusted registries
